company_name,ODI
dish,99.04750028588903
forever21,100.0
dillard,73.58869974734421
subway,80.73760222036401
kmart,75.04268585073123
safeway,76.08586123049541
panerabread,87.05748702455077
petsmart,72.80381687588572
dollartree,67.02265786385414
kohls,70.71986989815086
cvshealth,72.7535606502744
kraftheinz,59.231983894974036
kroger,64.88742387328091
wallgreens,60.00825325492987
staples,50.12274557662546
labcorp,62.61365681462237
sears,49.071470678858354
libertymutual,58.84292532186702
unitedhealthgroup,47.484081852749696
anthem,38.67305846264505
aramark,59.73161123621574
oreillyautoparts,40.48070324022014
pizzahut,56.65147151037277
pepsico,71.92051403463199
ups,66.25483118269004
dollargeneral,62.602889353469024
hartford,54.815374656746386
gap,59.03717104353087
costco,62.708140935699575
statefarm,42.04084913688921
aig,32.63242916613268
sprint,31.817673418136415
hpe,30.56568651190664
adp,40.69322501532223
macys,45.41234314083191
homedepot,49.77754051886096
nordstrom,47.534973493828716
charlesschwab,31.978750784218185
merck,28.236662282999212
nielsen,42.28554807189765
handrblock,20.93689537065863
nortonlifelock,25.11215030461752
atandt,30.118767253341773
pnc,37.16450261099447
apple,47.38738056776284
metlife,30.153544552172928
halliburton,51.45367333359593
comcast,35.34045207872351
abbott,32.26117674666885
humana,33.94509803561693
citi,31.229202986474913
ycma,42.61304093888688
ymca,42.61304075598705
amazon,54.05188551325539
bestbuy,41.51565625099437
allstate,39.495958132824754
dominos,53.953632500899104
pfizer,20.8104303756639
disney,41.5075857086068
pwc,67.61200560728957
bankofamerica,29.26411260443771
morganstanley,37.463201003413225
fidelity,34.2142252147427
mckesson,25.97033818271527
ibm,29.188064701644766
enterprise,65.28981497535545
boeing,34.78081673203555
marriott,45.10371881625773
northropgrumman,34.512546281289254
jpmorgan,28.279576660288463
hcahealthcare,28.093016647822132
wellsfargo,22.245877543361132
americanexpress,23.412722166421812
northwesternmutual,25.43389213563465
medtronic,25.985450434988433
ey,55.53909248098384
intel,32.7538249155938
advanceautoparts,30.710562871729728
google,38.15505531102171
grainger,14.737862468118951
paypal,20.144505019424397
kpmg,46.51511815709041
ge,18.114641065183406
americanairlines,26.399584913981332
3m,25.825543464136793
netapp,11.259713407846373
nike,24.623550782749202
cdw,14.280116727986941
fedex,29.226960965887304
deloitte,48.6502631940039
dell,13.280897766990869
ericsson,4.019759121809169
accenture,34.37044050234197
cisco,11.443061652434261
eastman,13.867992091377124
facebook,21.41364486338326
oracle,11.932564132609908
capitalone,20.55566992458559
infosys,4.787935167140417
microsoft,5.6135250657781075
uber,4.285868271704824
cognizant,0.0
marines,20.02421669368953
tcs,0.3785941319377206
